CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
19101990121772,0691078,12673,Active,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,812 West 165th Place,812 West 165th Pl.,Gardena,90247-5105,CA,812 West 165th Place,812 West 165th Pl.,Gardena,90247-5105,CA,(310) 425-1605,No Data,(310) 217-1096,info@ecsonline.org,http://www.ecmsgardena.org,8/31/2010,No Data,Y,1204,Directly funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,Y,0601708,33.880446,-118.28957,Dave,Trejo,dave_trejo@ecsonline.org,8/13/2020
19101990121822,0691078,12665,Active,Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",16350 Filbert Street,16350 Filbert St.,Sylmar,91342,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(818) 367-5942,No Data,(818) 362-8948,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,Y,No Data,34.314485,-118.48412,Ruben,Carranza,carranza_ruben@lacoe.edu,8/30/2021
19101990121871,0691078,12757,Closed,Los Angeles,Los Angeles County Office of Education,Los Padrinos Juvenile Hall,7285 East Quill Drive,7285 East Quill Dr.,Downey,90242,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,7/30/2019,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,6-12,7-12,N,N,N,No Data,33.933578,-118.16315,No Data,No Data,No Data,10/16/2019
19101990121897,0691078,12696,Active,Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,1605 Eastlake Avenue,1605 Eastlake Ave.,Los Angeles,90033,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(323) 225-4362,No Data,(323) 225-3274,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,6-12,8-12,N,N,N,No Data,34.063497,-118.20587,Michael,Massa,massa_michael@lacoe.edu,8/13/2020
19101990121905,0691078,12777,Active,Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",1500 South McDonnell Avenue,1500 South McDonnell Ave.,City Of Commerce,90040,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(323) 263-5106,No Data,(323) 263-0675,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.011983,-118.17019,Donna,Baker,baker_donna@lacoe.edu,6/15/2021
19101990121921,0691078,12710,Active,Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,6621 North Stephens Ranch Road,6621 North Stephens Ranch Rd.,La Verne,91750,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(909) 593-4926,No Data,(909) 596-2974,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.152077,-117.74243,John,Cotton,cotton_john@lacoe.edu,8/13/2020
19101990121939,0691078,12637,Active,Los Angeles,Los Angeles County Office of Education,"Rockey, Glenn Camp",1900 North Sycamore Canyon Road,1900 North Sycamore Canyon Rd.,San Dimas,91773,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(909) 599-8435,No Data,(909) 394-9615,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.132640,-117.79767,John,Cotton,donahue_ray@lacoe.edu,8/13/2020
19101990121947,0691078,12732,Closed,Los Angeles,Los Angeles County Office of Education,"Miller, Fred C. Camp",433 South Encinal Canyon Road,433 South Encinal Canyon Rd.,Malibu,90265,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,11-12,N,N,N,No Data,34.091702,-118.83591,No Data,No Data,No Data,7/20/2018
19101990121954,0691078,12802,Active,Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,427 South Encinal Canyon Road,427 South Encinal Canyon Rd.,Malibu,90265,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(818) 889-1225,No Data,(818) 889-7011,No Data,No Data,7/1/2010,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.091785,-118.83564,Bridget,Whitaker,whitaker_bridget@lacoe.edu,8/30/2021
19101990121970,0691078,12804,Closed,Los Angeles,Los Angeles County Office of Education,"Gonzales, David Camp",1301 North Las Virgenes Road,1301 North Las Virgenes Rd.,Calabasas,91302,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,2/28/2018,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,11-12,N,N,N,No Data,34.089615,-118.70551,No Data,No Data,No Data,10/23/2018
19101990121988,0691078,12680,Closed,Los Angeles,Los Angeles County Office of Education,"Scott, Joseph Camp",28700 Bouquet Canyon Road,28700 Bouquet Canyon Rd.,Saugus,91390,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2020,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,8-12,N,N,N,No Data,34.458546,-118.48774,No Data,No Data,No Data,7/24/2020
19101990121996,0691078,12743,Closed,Los Angeles,Los Angeles County Office of Education,"Scudder, Kenyon Camp",28750 Bouquet Canyon Road,28750 Bouquet Canyon Rd.,Saugus,91390,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.460098,-118.48525,No Data,No Data,No Data,7/20/2018
19101990122002,0691078,12653,Closed,Los Angeles,Los Angeles County Office of Education,"Munz, John Camp",42220 North Lake Hughes Road,42220 North Lake Hughes Rd.,Lake Hughes,93532,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,10-12,N,N,N,No Data,34.654273,-118.47016,No Data,No Data,No Data,7/24/2017
19101990122010,0691078,12675,Closed,Los Angeles,Los Angeles County Office of Education,"Mendenhall, William Camp",42230 North Lake Hughes Road,42230 North Lake Hughes Rd.,Lake Hughes,93532,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,10-12,N,N,N,No Data,34.652898,-118.48068,No Data,No Data,No Data,7/20/2018
19101990122028,0691078,12747,Closed,Los Angeles,Los Angeles County Office of Education,Onizuka Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,7/30/2019,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,11-12,N,N,N,No Data,34.660165,-118.22541,No Data,No Data,No Data,10/16/2019
19101990122036,0691078,12626,Closed,Los Angeles,Los Angeles County Office of Education,McNair Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,7/30/2019,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,10-12,N,N,N,No Data,34.660165,-118.22541,No Data,No Data,No Data,10/16/2019
19101990122044,0691078,12682,Closed,Los Angeles,Los Angeles County Office of Education,Jarvis Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2018,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.660165,-118.22541,No Data,No Data,No Data,7/20/2018
19101990122051,0691078,12775,Closed,Los Angeles,Los Angeles County Office of Education,Scobee Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,11/1/2018,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,12,N,N,N,No Data,34.660165,-118.22541,No Data,No Data,No Data,1/11/2019
19101990122069,0691078,12714,Closed,Los Angeles,Los Angeles County Office of Education,Resnik Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,Y,No Data,34.660165,-118.22541,No Data,No Data,No Data,7/24/2017
19101990122077,0691078,12707,Closed,Los Angeles,Los Angeles County Office of Education,Smith Camp,5300 West Avenue l,5300 West Ave. l,Lancaster,93536,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242-2813,CA,No Data,No Data,No Data,No Data,No Data,7/1/2010,6/30/2018,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,N,N,No Data,34.660165,-118.22541,No Data,No Data,No Data,10/23/2018
19101990123604,0691078,12742,Closed,Los Angeles,Los Angeles County Office of Education,Phoenix Academy Residential Education Center,11600 Eldrige Avenue,11600 Eldrige Ave.,Lake View Terrace,91342-6522,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,10/25/2010,6/30/2019,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,10-12,N,N,Y,No Data,34.280288,-118.38275,No Data,No Data,No Data,10/16/2019
19101990123612,0691078,12649,Closed,Los Angeles,Los Angeles County Office of Education,Pacific Lodge Residential Education Center,4900 Serrania Avenue,4900 Serrania Ave.,Woodland Hills,91364,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,No Data,No Data,No Data,No Data,No Data,10/25/2010,6/30/2017,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,10-12,N,N,N,No Data,34.157824,-118.58813,No Data,No Data,No Data,7/20/2018
19101990123877,0691078,12822,Closed,Los Angeles,Los Angeles County Office of Education,Via Nueva Academy,3633 Slauson Avenue,3633 Slauson Ave.,Maywood,90270-5655,CA,1042 Van Ness Avenue,1042 Van Ness Ave.,Los Angeles,90068,CA,No Data,No Data,No Data,davidcalvo@aol.com,No Data,6/28/2011,6/28/2011,Y,1272,Locally funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,No Data,No Data,N,N,No Data,33.988597,-118.19967,No Data,No Data,No Data,6/18/2018
19101990124925,0691078,12925,Closed,Los Angeles,Los Angeles County Office of Education,Celerity Sirius Charter,310 East El Segundo Boulevard,310 East El Segundo Blvd.,Compton,90222-2315,CA,2069 West Slauson Avenue,2069 West Slauson Ave.,Los Angeles,90047,CA,No Data,No Data,No Data,info@celerityschools.org,Information Not Available,7/1/2011,6/30/2016,Y,1353,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-8,N,N,N,No Data,33.915978,-118.22263,No Data,No Data,No Data,7/8/2016
19101990125229,0691078,12988,Closed,Los Angeles,Los Angeles County Office of Education,HOPE Leadership Charter,"450 Bauchet Street, Eighth Floor","450 Bauchet St., Eighth Fl.",Los Angeles,90012-2907,CA,"450 Bauchet Street, Eighth Floor","450 Bauchet St., Eighth Fl.",Los Angeles,90012-2907,CA,No Data,No Data,No Data,ksdalton@lasd.org,No Data,9/26/2012,3/14/2012,Y,1361,No Data,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,UG,Ungraded,9-Adult,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,No Data,9/19/2012
19101990127274,0691078,13159,Closed,Los Angeles,Los Angeles County Office of Education,Westchester Secondary Charter,7001 South Street Andrews Place,7001 South St. Andrews Pl.,Los Angeles,90047-1833,CA,7001 South Street Andrews Place,7001 South St. Andrews Pl.,Los Angeles,90047-1833,CA,No Data,No Data,No Data,jlandon@westchestercharter.com,Information Not Available,9/4/2013,6/30/2017,Y,1495,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,N,No Data,33.976593,-118.31225,No Data,No Data,No Data,6/30/2017
19101990127498,0691078,13591,Active,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,3600 West Imperial Highway,3600 West Imperial Hwy.,Inglewood,90303-2714,CA,3600 West Imperial Highway,3600 West Imperial Hwy.,Inglewood,90303-2714,CA,(310) 793-0157,No Data,(310) 680-9843,info@ecsonline.org,http://www.ecsonline.org,7/1/2013,No Data,Y,1501,Directly funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,Y,0601540,33.930642,-118.33589,Geneva,Matthews,geneva_matthews@ecsonline.org,9/8/2020
19101990127522,0691078,13536,Closed,Los Angeles,Los Angeles County Office of Education,Optimist Charter,6957 North Figueroa Street,6957 North Figueroa St.,Los Angeles,90042-1245,CA,6957 North Figueroa Street,6957 North Figueroa St.,Los Angeles,90042-1245,CA,No Data,No Data,No Data,aeskot@oyhfs.org,Information Not Available,7/1/2013,8/13/2020,Y,1506,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,10-12,N,N,N,0601659,34.128523,-118.18775,No Data,No Data,No Data,8/19/2020
19101990128025,0691078,13261,Active,Los Angeles,Los Angeles County Office of Education,Lashon Academy,7477 Kester Avenue,7477 Kester Ave.,Van Nuys,91405-1722,CA,7119 West Sunset Boulevard Suite 420,7119 West Sunset Blvd. Ste. 420,Los Angeles,90046,CA,(818) 514-4566,No Data,(818) 337-0102,enroll@lashonacademy.org,http://lashonacademy.org,8/14/2014,No Data,Y,1560,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,N,N,0601955,34.206356,-118.45749,Sara,Garcia,sgarcia@lashonacademy.org,5/24/2021
19101990132605,0691078,13895,Active,Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,8691 California Avenue,8691 California Ave.,South Gate,90280-3003,CA,8691 California Avenue,8691 California Ave.,South Gate,90280-3003,CA,(323) 744-2107,No Data,(323) 306-5869,nhuertas@valientecollegeprep.org,http://www.valientecollegeprep.org,8/17/2015,No Data,Y,1744,Directly funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,5-8,5-8,N,N,N,0602256,33.954987,-118.20667,Nevenka,Huertas,nhuertas@valientecollegeprep.org,8/30/2021
19101990134346,0691078,14009,Active,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,1637 Long Beach Boulevard,1637 Long Beach Blvd.,Long Beach,90813-4001,CA,1637 Long Beach Boulevard,1637 Long Beach Blvd.,Long Beach,90813-4001,CA,(562) 283-4456,No Data,No Data,info@academylongbeach.org,http://www.academylongbeach.org,8/31/2016,No Data,Y,1814,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0601535,33.787916,-118.18982,Summer,Sanders,summer.sanders@academylongbeach.org,8/13/2020
19101990134361,0691078,14033,Active,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? Middle,1700 West 46th Street,1700 West 46th St.,Los Angeles,90062-2347,CA,1933 Broadway #1108,1933 Broadway #1108,Los Angeles,90007-2347,CA,(323) 403-0770,No Data,(213) 652-1818,info@lapromisefund.org,http://www.russellwestbrookwhynotms.org,8/30/2016,No Data,Y,1818,Directly funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0602380,34.001137,-118.30915,Donna,Jacobson,donnaj@lapromisefund.org,10/12/2021
19101990135368,0691078,14146,Active,Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,119 West Palm Street,119 West Palm St.,Altadena,91001-4375,CA,119 West Palm Street,119 West Palm St.,Altadena,91001,CA,(858) 472-2245,No Data,(626) 529-5258,info@almafuerteps.org,http://www.almafuerteps.org,8/7/2017,No Data,Y,1859,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-4,C,N,N,0602408,34.197588,-118.14850,Laurilie,Keay,laurilie.keay@almafuerteps.org,8/13/2020
19101990135582,0691078,14144,Active,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? High,1755 West 52nd Street,1755 West 52nd St.,Los Angeles,90062-2347,CA,1755 West 52nd Street,1755 West 52nd St.,Los Angeles,90062-2347,CA,(213) 745-4928,No Data,(213) 652-1818,info@lapromisefund.org,http://www.russellwestbrookwhynoths.org,8/15/2017,No Data,Y,1817,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-11,N,N,N,0601612,33.995341,-118.30851,Donna,Jacobson,donnaj@lapromisefund.org,9/1/2021
19101990136119,0691078,14151,Active,Los Angeles,Los Angeles County Office of Education,Animo City of Champions Charter High,9330 South Eighth Avenue,9330 South Eighth Ave.,Inglewood,90305-2914,CA,"1149 South Hill Street, Suite 600","1149 South Hill St., Ste. 600",Los Angeles,90015,CA,(323) 565-1600,No Data,(323) 565-1610,cha.cde@greendot.org,http://greendot.org,8/9/2017,No Data,Y,1874,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-11,N,N,N,0602307,33.951586,-118.32505,Cen'cere,Cooks,cha.cde@greendot.org,3/16/2021
19101990137166,0691078,14349,Active,Los Angeles,Los Angeles County Office of Education,Soleil Academy Charter,3900 Agnes Avenue,3900 Agnes Ave.,Lynwood,90262-4415,CA,"3900 Agnes Ave,","3900 Agnes Ave,",Lynwood,90262,CA,(323) 409-0801,No Data,No Data,bgutierrez@soleilacademy.org,http://www.soleilacademy.org,8/8/2018,No Data,Y,1931,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-2,C,N,N,0601965,33.917011,-118.20180,Beatriz,Gutierrez,bgutierrez@soleilacademy.org,8/28/2020
19101990137679,0691078,12347,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,18238 Sherman Way,18238 Sherman Way,Reseda,91335-6121,CA,18238 Sherman Way,18238 Sherman Way,Reseda,91335-6121,CA,(818) 705-5676,No Data,(818) 705-5627,msa5@magnoliapublicschools.org,http://msa5.magnoliapublicschools.org/,7/1/2018,No Data,Y,0987,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,N,N,0601885,34.200724,-118.53023,Ali,Kaplan,akaplan@magnoliapublicschools.org,10/16/2021
